,time,command,pitch,roll,Yaw,height,Vx,Vy,Vz,battery
215,1662599764.0785966,stand,1,0,-2,-60,0,0,0,82
216,1662599764.139022,stand,1,0,-2,-60,0,0,0,82
217,1662599764.2998118,stand,1,0,-2,-60,0,0,0,82
218,1662599764.4643605,LEFT,1,0,-2,-60,0,0,0,82
219,1662599764.5188074,LEFT,1,0,-2,-60,0,0,0,82
220,1662599764.5803258,LEFT,1,0,-4,-60,0,0,0,82
221,1662599764.6914814,LEFT,1,0,-7,-60,0,0,0,82
222,1662599764.861823,LEFT,1,0,-10,-60,0,0,0,82
223,1662599764.9158447,LEFT,1,0,-13,-60,0,0,0,82
224,1662599765.0297797,LEFT,1,0,-17,-60,0,0,0,82
225,1662599765.1311336,LEFT,1,0,-20,-60,0,0,0,82
226,1662599765.2018533,LEFT,1,0,-23,-60,0,0,0,82
227,1662599765.405923,LEFT,1,0,-27,-60,0,0,0,82
228,1662599765.5693052,LEFT,1,0,-34,-60,0,0,0,82
229,1662599765.7121472,LEFT,1,0,-37,-60,0,0,0,82
230,1662599765.881862,LEFT,0,-1,-44,-60,0,0,0,82
231,1662599766.0180085,LEFT,0,0,-51,-60,0,0,0,82
232,1662599766.100311,LEFT,0,0,-51,-60,0,0,0,82
233,1662599766.252007,LEFT,0,-1,-58,-60,0,0,0,82
234,1662599766.4003916,LEFT,0,-1,-58,-60,0,0,0,82
235,1662599766.4152238,LEFT,0,-1,-61,-60,0,0,0,82
236,1662599766.6161172,LEFT,0,0,-72,-60,0,0,0,82
237,1662599766.7339165,LEFT,0,0,-76,-60,0,0,0,82
238,1662599766.8140686,LEFT,0,0,-76,-60,0,0,0,82
239,1662599766.880959,LEFT,0,0,-79,-60,0,0,0,82
240,1662599767.0024133,LEFT,0,-1,-83,-60,0,0,0,82
241,1662599767.1151145,LEFT,0,-1,-86,-60,0,0,0,82
242,1662599767.1650994,LEFT,0,-1,-89,-60,0,0,0,82
243,1662599767.2749598,LEFT,0,-1,-93,-60,0,0,0,82
244,1662599767.4158642,LEFT,0,-1,-99,-60,0,0,0,82
245,1662599767.535302,LEFT,0,-1,-103,-60,0,0,0,82
246,1662599767.707873,LEFT,0,0,-109,-60,0,0,0,82
247,1662599767.7890646,LEFT,0,0,-109,-60,0,0,0,82
248,1662599767.8812156,LEFT,0,-1,-113,-60,0,0,0,82
249,1662599768.0354838,LEFT,0,0,-120,-60,0,0,0,82
